Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Oct 7, 2019",Data Analyst Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Positive Experience,Average Interview,"I applied through a staffing agency. The process took a week. I interviewed at Ford Motor Company (Detroit, MI) in September 2019.","Firstly, a staff agency called me and asked questions about my skills. And then, I got an interview in the Ford office with the hiring manager. The interview is 1 to 1 and there are only 5 behavior questions.",What's the most innovative thing you ever did? Â  Answer Question
"Oct 3, 2019",Technical Support Analyst Interview,"Anonymous Employee in Rexburg, ID",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Rexburg, ID) in October 2019.",The interviewer made me feel comfortable. I was confident when answering the questions. He asked me for some situational questions. He also asked some me some technical questions with a wiring diagram. It is helpful to bring along a portfolio preferably a powerpoint presentation on any projects done in the past.,How were you able to work with a difficult employer? Â  Answer Question
"Oct 3, 2019",Software Developer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company.,Phone call and talking. Very casual. Basically just go through my resume and see if I have the experience for this position. bla bla bla bla bla bla bla,Non-technical Â  Answer Question
"Oct 3, 2019",Internship Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 2+ weeks. I interviewed at Ford Motor Company in October 2019.,"I talked to a recruiter at a career fair and applied online afterwards. A week later, I got an email invitation for a 30 minute phone interview. After the interview they sent me another application form similar to the initial one. I received an offer letter very soon after.",Example of a time when you came up with a novel solution to a problem Â  Answer Question
"Oct 3, 2019",Full Time Interview,"Anonymous Interview Candidate in Houston, TX",No Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 1 day. I interviewed at Ford Motor Company (Houston, TX) in September 2019.","The interview process was amazing on both sides, was really able to connect with the interviewers and the process was smooth. Right now I am in the second round of the process and that is going to involve them sending me a case study.",Behavioral questions Â  1 Answer
"Oct 1, 2019",Ford College Graduate Interview,"Anonymous Interview Candidate in Houghton, MI",No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 2 days. I interviewed at Ford Motor Company (Houghton, MI) in September 2019.","Interview is very behavioral, with lots of emphasis of how your past will lead to their success mainly including projects and handling coworkers. They often won't offer you a position until sometime after for evaluation, which is typical. Be prepared to pull from previous experiences as most, if not all, questions were behavior and experience based.",Tell me about a time where you were leading a project with limited time and/or resources? What did you do to manage it? Â  Answer Question
"Sep 29, 2019",Global Data Insights and Analytics Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Average Interview,I applied through college or university. The process took 4+ weeks. I interviewed at Ford Motor Company in November 2018.,"I first met recruiters at a University information session. I was then asked to meet a recruiter at the career fair, where we talked briefly about my background. About a week or two later, I was asked to interview on campus, and received an offer a day later.",Describe what you accomplished at your previous internship to me. Â  Answer Question
"Sep 26, 2019",Aerodynamics Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in July 2015.",STAR based. Nothing fancy or special. Midwestern as all hell. It was a panel of three people including the director who showed up and very clearly constrained by the STAR format. Other than that they tried asking about skills relevant to the job.,stuff like 'tell me about a time' etc. Â  1 Answer
"Sep 19, 2019",Electrical Test Planner Engineer Interview,Anonymous Employee in Ciudad de MÃ©xico (Mexico),Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 4+ weeks. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)) in September 2016.,"Cita por telÃ©fono con RH, despuÃ©s entrevista presencial en lugar de trabajo para entrevista con supervisor de Ã¡rea y algunos ingenieros con puestos similares, despuÃ©s con el gerente del Ã¡rea,","Conocimientos generales relacionado a la posiciÃ³n, elÃ©ctrico/electrÃ³nico Â  1 Answer"
"Sep 18, 2019",Process Coach Interview,Anonymous Interview Candidate in Buenos Aires (Argentina),No Offer,Neutral Experience,Difficult Interview,I applied through other source. I interviewed at Ford Motor Company (Buenos Aires (Argentina)) in April 2018.,"Entrevista mediante consultora de trabajo, assessment en planta productiva, 1 a 1 con area manager y RRHH, 1 a 1 con plant manager y RRHH, preocupacional y informe ambiental, ingreso por agencia con posibilidad de puesto efectivo",Experiencias varias Â  1 Answer
"Sep 14, 2019",Software Engineer Interview,Anonymous Interview Candidate in Ciudad de MÃ©xico (Mexico),No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)) in April 2018.,"Tuve entrevista telefÃ³nica, posteriormente entrevista presencial en su corporativo. Las preguntas son sobre experiencia, conocimiento, logros, entre otras cosas relativamente sencillas. Las personas que entrevistaron no dan retroalimentaciÃ³n inmediata sino que se hizo una discusiÃ³n posterior para determinar al candidato adecuado.",Preguntas bÃ¡sicas sobre sistemas de infotainment Â  Answer Question
